generation	mean	max	min	deviation	diversity
0	182.582	206.866	153.679	11.1999	0.950231
1	177.135	262.876	142.113	16.1764	0.944712
2	175.39	237.808	130.491	17.2138	0.940681
3	168.779	244.9	130.491	18.0183	0.938746
4	163.862	233.131	130.491	15.2437	0.933403
5	159.264	206.625	121.512	15.2251	0.930583
6	155.049	190.098	113.211	16.0836	0.925909
7	148.766	193.998	109.696	15.9666	0.921885
8	144.256	179.195	109.696	15.0045	0.918152
9	139.168	174.329	96.9779	15.3615	0.91312
10	133.646	209.556	86.0426	15.5317	0.909403
11	127.844	161.748	86.0426	14.3818	0.901734
12	123.619	160.086	70.4659	15.002	0.895506
13	118.447	151.743	70.4659	16.3319	0.885439
14	108.372	150.758	69.8492	15.3125	0.863025
15	99.8851	134.587	68.8609	13.7882	0.84726
16	94.2055	130.637	65.2587	12.5731	0.824399
17	88.204	120.473	63.0936	11.1604	0.811371
18	85.1675	121.208	53.653	10.9593	0.806832
19	80.5616	104.533	53.653	9.40329	0.789089
20	76.1664	102.653	53.653	9.47543	0.77286
21	72.8335	101.446	45.5514	9.63904	0.757042
22	69.8627	90.9715	43.7075	8.95719	0.740362
23	66.5278	91.3598	38.3552	9.8042	0.714896
24	60.7648	81.6861	38.0954	10.5087	0.682194
25	56.1398	82.1303	31.8645	10.6484	0.645293
26	51.8522	76.0272	26.263	10.6979	0.614031
27	46.4798	82.149	26.263	10.8188	0.57084
28	43.4252	72.6535	26.2076	8.74315	0.527379
29	39.2136	64.0407	26.2076	6.65027	0.485339
30	36.2355	51.2019	26.2076	5.33001	0.449367
31	34.5556	54.4451	23.5454	5.12419	0.421894
32	32.3424	44.5589	23.3792	4.62853	0.388102
33	30.654	40.2944	23.3792	3.32902	0.340715
34	29.2954	40.2944	23.3792	2.87081	0.307982
35	28.5903	39.1757	23.3792	2.9161	0.278235
36	27.5233	40.2944	23.3238	2.62031	0.232864
37	26.7114	37.4659	23.3238	2.78355	0.204446
38	25.3758	31.8091	23.3238	2.1442	0.146717
39	24.5263	29.7592	23.3238	1.71687	0.0987056
40	23.9529	28.9807	23.3238	1.25132	0.0514446
41	23.5971	28.9807	23.3238	0.890602	0.0274111
42	23.367	26.1522	23.3238	0.336727	0.00627434
43	23.3242	23.3792	23.3238	0.00468209	0.000714287
44	23.3238	23.3238	23.3238	1.72278e-05	0
45	23.3238	23.3238	23.3238	1.72278e-05	0
46	23.3238	23.3238	23.3238	1.72278e-05	0
47	23.3238	23.3238	23.3238	1.72278e-05	0
48	23.3238	23.3238	23.3238	1.72278e-05	0
49	23.3238	23.3238	23.3238	1.72278e-05	0
50	23.3238	23.3238	23.3238	1.72278e-05	0
51	23.3238	23.3238	23.3238	1.72278e-05	0
52	23.3238	23.3238	23.3238	1.72278e-05	0
53	23.3238	23.3238	23.3238	1.72278e-05	0
54	23.3238	23.3238	23.3238	1.72278e-05	0
55	23.3238	23.3238	23.3238	1.72278e-05	0
56	23.3238	23.3238	23.3238	1.72278e-05	0
57	23.3238	23.3238	23.3238	1.72278e-05	0
58	23.3238	23.3238	23.3238	1.72278e-05	0
59	23.3238	23.3238	23.3238	1.72278e-05	0
60	23.3238	23.3238	23.3238	1.72278e-05	0
61	23.3238	23.3238	23.3238	1.72278e-05	0
62	23.3238	23.3238	23.3238	1.72278e-05	0
63	23.3238	23.3238	23.3238	1.72278e-05	0
64	23.3238	23.3238	23.3238	1.72278e-05	0
65	23.3238	23.3238	23.3238	1.72278e-05	0
66	23.3238	23.3238	23.3238	1.72278e-05	0
67	23.3238	23.3238	23.3238	1.72278e-05	0
68	23.3238	23.3238	23.3238	1.72278e-05	0
69	23.3238	23.3238	23.3238	1.72278e-05	0
70	23.3238	23.3238	23.3238	1.72278e-05	0
71	23.3238	23.3238	23.3238	1.72278e-05	0
72	23.3238	23.3238	23.3238	1.72278e-05	0
73	23.3238	23.3238	23.3238	1.72278e-05	0
74	23.3238	23.3238	23.3238	1.72278e-05	0
75	23.3238	23.3238	23.3238	1.72278e-05	0
76	23.3238	23.3238	23.3238	1.72278e-05	0
77	23.3238	23.3238	23.3238	1.72278e-05	0
78	23.3238	23.3238	23.3238	1.72278e-05	0
79	23.3238	23.3238	23.3238	1.72278e-05	0
80	23.3238	23.3238	23.3238	1.72278e-05	0
81	23.3238	23.3238	23.3238	1.72278e-05	0
82	23.3238	23.3238	23.3238	1.72278e-05	0
83	23.3238	23.3238	23.3238	1.72278e-05	0
84	23.3238	23.3238	23.3238	1.72278e-05	0
85	23.3238	23.3238	23.3238	1.72278e-05	0
86	23.3238	23.3238	23.3238	1.72278e-05	0
87	23.3238	23.3238	23.3238	1.72278e-05	0
88	23.3238	23.3238	23.3238	1.72278e-05	0
89	23.3238	23.3238	23.3238	1.72278e-05	0
90	23.3238	23.3238	23.3238	1.72278e-05	0
91	23.3238	23.3238	23.3238	1.72278e-05	0
92	23.3238	23.3238	23.3238	1.72278e-05	0
93	23.3238	23.3238	23.3238	1.72278e-05	0
94	23.3238	23.3238	23.3238	1.72278e-05	0
95	23.3238	23.3238	23.3238	1.72278e-05	0
96	23.3238	23.3238	23.3238	1.72278e-05	0
97	23.3238	23.3238	23.3238	1.72278e-05	0
98	23.3238	23.3238	23.3238	1.72278e-05	0
99	23.3238	23.3238	23.3238	1.72278e-05	0
100	23.3238	23.3238	23.3238	1.72278e-05	0
101	23.3238	23.3238	23.3238	1.72278e-05	0
102	23.3238	23.3238	23.3238	1.72278e-05	0
103	23.3238	23.3238	23.3238	1.72278e-05	0
104	23.3238	23.3238	23.3238	1.72278e-05	0
105	23.3238	23.3238	23.3238	1.72278e-05	0
106	23.3238	23.3238	23.3238	1.72278e-05	0
107	23.3238	23.3238	23.3238	1.72278e-05	0
108	23.3238	23.3238	23.3238	1.72278e-05	0
109	23.3238	23.3238	23.3238	1.72278e-05	0
110	23.3238	23.3238	23.3238	1.72278e-05	0
111	23.3238	23.3238	23.3238	1.72278e-05	0
112	23.3238	23.3238	23.3238	1.72278e-05	0
113	23.3238	23.3238	23.3238	1.72278e-05	0
114	23.3238	23.3238	23.3238	1.72278e-05	0
115	23.3238	23.3238	23.3238	1.72278e-05	0
116	23.3238	23.3238	23.3238	1.72278e-05	0
117	23.3238	23.3238	23.3238	1.72278e-05	0
118	23.3238	23.3238	23.3238	1.72278e-05	0
119	23.3238	23.3238	23.3238	1.72278e-05	0
120	23.3238	23.3238	23.3238	1.72278e-05	0
121	23.3238	23.3238	23.3238	1.72278e-05	0
122	23.3238	23.3238	23.3238	1.72278e-05	0
123	23.3238	23.3238	23.3238	1.72278e-05	0
124	23.3238	23.3238	23.3238	1.72278e-05	0
125	23.3238	23.3238	23.3238	1.72278e-05	0
126	23.3238	23.3238	23.3238	1.72278e-05	0
127	23.3238	23.3238	23.3238	1.72278e-05	0
128	23.3238	23.3238	23.3238	1.72278e-05	0
129	23.3238	23.3238	23.3238	1.72278e-05	0
130	23.3238	23.3238	23.3238	1.72278e-05	0
131	23.3238	23.3238	23.3238	1.72278e-05	0
132	23.3238	23.3238	23.3238	1.72278e-05	0
133	23.3238	23.3238	23.3238	1.72278e-05	0
134	23.3238	23.3238	23.3238	1.72278e-05	0
135	23.3238	23.3238	23.3238	1.72278e-05	0
136	23.3238	23.3238	23.3238	1.72278e-05	0
137	23.3238	23.3238	23.3238	1.72278e-05	0
138	23.3238	23.3238	23.3238	1.72278e-05	0
139	23.3238	23.3238	23.3238	1.72278e-05	0
140	23.3238	23.3238	23.3238	1.72278e-05	0
141	23.3238	23.3238	23.3238	1.72278e-05	0
142	23.3238	23.3238	23.3238	1.72278e-05	0
143	23.3238	23.3238	23.3238	1.72278e-05	0
144	23.3238	23.3238	23.3238	1.72278e-05	0
145	23.3238	23.3238	23.3238	1.72278e-05	0
146	23.3238	23.3238	23.3238	1.72278e-05	0
147	23.3238	23.3238	23.3238	1.72278e-05	0
148	23.3238	23.3238	23.3238	1.72278e-05	0
149	23.3238	23.3238	23.3238	1.72278e-05	0
150	23.3238	23.3238	23.3238	1.72278e-05	0
